Dan;280;Koivulaakso;VAS;01;36;MEN;Helsinki;ELECTED;329;581;910;1211;-301;0.3;0.3;0.3;5152.286;
Mia;113;Nygård;KOK;01;39;WOMEN;Helsinki;ELECTED;195;613;808;0;808;0.3;0.2;0.3;5089.333;
Ilkka;463;Taipale;SDP;01;74;MEN;Helsinki;ELECTED;414;485;899;1371;-472;0.3;0.3;0.2;4961.222;
Katju;3;Aro;FP;01;42;WOMEN;Helsinki;ELECTED;519;1023;1542;0;1542;0.5;0.4;0.5;4908.0;
Fatim;622;Diarra;VIHR;01;30;WOMEN;Helsinki;ELECTED;397;653;1050;0;1050;0.3;0.3;0.3;4870.438;
Risto;127;Rautava;KOK;01;62;MEN;Helsinki;ELECTED;314;393;707;1222;-515;0.2;0.3;0.2;4821.474;
Jörn;164;Donner;RKP;01;84;MEN;Helsinki;ELECTED;353;616;969;0;969;0.3;0.3;0.3;4708.75;
Terhi;936;Peltokorpi;KESK;01;41;WOMEN;Helsinki;ELECTED;467;622;1089;1134;-45;0.3;0.4;0.3;4587.0;
Elina;685;Moisio;VIHR;01;41;WOMEN;Helsinki;ELECTED;300;732;1032;761;271;0.3;0.2;0.4;4583.941;
Mirita;135;Saxberg;KOK;01;34;WOMEN;Helsinki;ELECTED;154;544;698;0;698;0.2;0.1;0.3;4580.4;
Paavo;599;Väyrynen;KD;01;70;MEN;Helsinki;ELECTED;483;532;1015;287;728;0.3;0.4;0.3;4510.5;
Vesa;284;Korkkula;VAS;01;32;MEN;Helsinki;ELECTED;311;589;900;431;469;0.3;0.3;0.3;4508.25;
Pilvi;468;Torsti;SDP;01;41;WOMEN;Helsinki;ELECTED;301;540;841;1529;-688;0.3;0.2;0.3;4465.1;
Petrus;1048;Pennanen;PIR;01;44;MEN;Helsinki;ELECTED;419;945;1364;265;1099;0.4;0.3;0.5;4460.0;
Otto;103;Meri;KOK;01;27;MEN;Helsinki;ELECTED;258;439;697;0;697;0.2;0.2;0.2;4362.286;
Mari;829;Rantanen;PS;01;41;WOMEN;Helsinki;ELECTED;289;731;1020;674;346;0.3;0.2;0.4;4338.6;
Jussi;621;Chydenius;VIHR;01;44;MEN;Helsinki;ELECTED;304;708;1012;887;125;0.3;0.2;0.4;4329.278;
Matti;110;Niiranen;KOK;01;54;MEN;Helsinki;ELECTED;306;377;683;955;-272;0.2;0.2;0.2;4164.0;
Atte;630;Harjanne;VIHR;01;32;MEN;Helsinki;ELECTED;339;598;937;0;937;0.3;0.3;0.3;4101.421;
Thomas;485;Wallgren;SDP;01;59;MEN;Helsinki;ELECTED;282;446;728;1211;-483;0.2;0.2;0.2;4059.182;
Petra;302;Malin;VAS;01;36;WOMEN;Helsinki;ELECTED;291;546;837;444;393;0.3;0.2;0.3;4007.333;
Matti;121;Parpala;KOK;01;30;MEN;Helsinki;ELECTED;225;427;652;0;652;0.2;0.2;0.2;3982.957;
Kati;643;Juva;VIHR;01;59;WOMEN;Helsinki;ELECTED;349;510;859;604;255;0.3;0.3;0.3;3896.35;
Ted;34;Apter;KOK;01;30;MEN;Helsinki;ELECTED;194;439;633;578;55;0.2;0.2;0.2;3817.0;
Silja;161;Borgarsdóttir Sandelin;RKP;01;32;WOMEN;Helsinki;ELECTED;349;617;966;244;722;0.3;0.3;0.3;3767.0;
Jukka;404;Järvinen;SDP;01;52;MEN;Helsinki;ELECTED;252;447;699;891;-192;0.2;0.2;0.2;3720.917;
Hannu;695;Oskala;VIHR;01;38;MEN;Helsinki;ELECTED;270;570;840;1008;-168;0.3;0.2;0.3;3710.81;
Tapio;79;Klemetti;KOK;01;52;MEN;Helsinki;ELECTED;196;424;620;613;7;0.2;0.2;0.2;3664.32;
Pia;789;Kopra;PS;01;52;WOMEN;Helsinki;ELECTED;169;273;442;179;263;0.1;0.1;0.1;3615.5;
Anna;359;Vuorjoki;VAS;01;40;WOMEN;Helsinki;ELECTED;325;500;825;450;375;0.3;0.3;0.3;3606.6;
Satu;712;Silvo;VIHR;01;54;WOMEN;Helsinki;IN_RESERVE;314;523;837;0;837;0.3;0.3;0.3;3542.136;
Dani;111;Niskanen;KOK;01;23;MEN;Helsinki;IN_RESERVE;215;405;620;50;570;0.2;0.2;0.2;3523.385;
Maija;369;Anttila;SDP;01;74;WOMEN;Helsinki;IN_RESERVE;326;329;655;1319;-664;0.2;0.3;0.2;3434.692;
Laura;129;Rissanen;KOK;01;40;WOMEN;Helsinki;IN_RESERVE;170;449;619;1383;-764;0.2;0.1;0.2;3392.889;
Tuomas;703;Rantanen;VIHR;01;51;MEN;Helsinki;IN_RESERVE;216;612;828;860;-32;0.3;0.2;0.3;3388.13;
Mia;256;Haglund;VAS;01;31;WOMEN;Helsinki;IN_RESERVE;311;463;774;311;463;0.2;0.3;0.2;3278.727;
Dennis;122;Pasterstein;KOK;01;45;MEN;Helsinki;IN_RESERVE;212;390;602;650;-48;0.2;0.2;0.2;3271.714;
Jarmo;689;Nieminen;VIHR;01;57;MEN;Helsinki;IN_RESERVE;260;520;780;1146;-366;0.2;0.2;0.3;3246.958;
Johanna;421;Laisaari;SDP;01;43;WOMEN;Helsinki;IN_RESERVE;167;479;646;0;646;0.2;0.1;0.2;3189.357;
Tatu;126;Rauhamäki;KOK;01;46;MEN;Helsinki;IN_RESERVE;229;365;594;932;-338;0.2;0.2;0.2;3158.897;
Laura;169;Finne-Elonen;RKP;01;73;WOMEN;Helsinki;IN_RESERVE;259;276;535;602;-67;0.2;0.2;0.1;3139.167;
Johanna;692;Nuorteva;VIHR;01;37;WOMEN;Helsinki;IN_RESERVE;219;531;750;401;349;0.2;0.2;0.3;3117.08;
Matias;854;Turkkila;PS;01;44;MEN;Helsinki;IN_RESERVE;103;235;338;277;61;0.1;0.1;0.1;3099.0;
Pekka;941;Puska;KESK;01;71;MEN;Helsinki;IN_RESERVE;414;423;837;0;837;0.3;0.3;0.2;3058.0;
Kauko;83;Koskinen;KOK;01;77;MEN;Helsinki;IN_RESERVE;286;302;588;1198;-610;0.2;0.2;0.2;3053.6;
Mauri;596;Venemies;KD;01;64;MEN;Helsinki;IN_RESERVE;293;311;604;0;604;0.2;0.2;0.2;3007.0;
Zahra;236;Abdulla;VAS;01;51;WOMEN;Helsinki;IN_RESERVE;353;390;743;1416;-673;0.2;0.3;0.2;3005.5;
Minerva;661;Krohn;VIHR;01;49;WOMEN;Helsinki;IN_RESERVE;286;426;712;1358;-646;0.2;0.2;0.2;2997.192;
Tomi;456;Sevander;SDP;01;45;MEN;Helsinki;IN_RESERVE;239;374;613;775;-162;0.2;0.2;0.2;2976.733;
Laura;148;Varjokari;KOK;01;30;WOMEN;Helsinki;IN_RESERVE;183;405;588;0;588;0.2;0.1;0.2;2955.097;
Lilja;722;Tamminen;VIHR;01;29;WOMEN;Helsinki;IN_RESERVE;246;459;705;361;344;0.2;0.2;0.2;2886.185;
Maarit;150;Vierunen;KOK;01;48;WOMEN;Helsinki;IN_RESERVE;174;408;582;240;342;0.2;0.1;0.2;2862.75;
Kaarin;464;Taipale;SDP;01;68;WOMEN;Helsinki;IN_RESERVE;306;303;609;675;-66;0.2;0.2;0.2;2790.688;
Amanda;697;Pasanen;VIHR;01;22;WOMEN;Helsinki;IN_RESERVE;313;382;695;0;695;0.2;0.3;0.2;2783.107;
